country,GDP_per_capita,ICT goods exports,R_and_D_expenditure,doctorates_percent,high_technology_exports,industrial_design_applications,journal_articles,patent_applications,researchers_per_million
Ireland,51850.0,5.9995094992,,,29060468411.0,115.0,6852.3,250.0,4575.19636
Isle of Man,82650.0,,,,,,,,
Israel,36080.0,14.329859986,4.26632,1.44091999530792,11818252000.0,1049.0,12216.4,1285.0,
Italy,32970.0,1.8970162641,1.33488,,26927145887.0,1.0,70814.2,,2018.08649
Jamaica,4730.0,0.2724808546,,,509846.0,65.0,144.5,7.0,
Japan,38880.0,8.5194047092,3.28363,,91513823175.0,24818.0,99812.4,258839.0,5230.72444
Jordan,3890.0,1.7772806194,,,85510786.0,55.0,1509.8,41.0,307.98414
Kazakhstan,11420.0,0.1852658477,0.16944,,2844361044.0,94.0,1259.3,1271.0,
Kenya,1310.0,,,,,73.0,950.8,137.0,
Kiribati,3460.0,,,,,,1.4,,
"Korea, Dem. People���s Rep.",,,,,,,47.3,,
"Korea, Rep.",27250.0,21.7198552064,4.22816,,126526384316.0,65891.0,64523.1,167275.0,7087.35169
Kosovo,3980.0,,,,,,133.3,,
Kuwait,40750.0,0.1622693669,,,138387434.0,,874.0,,
Kyrgyz Republic,1180.0,0.0693210854,0.12086,,42363668.0,21.0,50.9,122.0,
Lao PDR,2000.0,9.6428563438,,,297939232.0,,68.6,,
Latvia,14970.0,11.5192879284,0.6255,0.542620003223419,1036825314.0,102.0,1476.1,136.0,1833.54199
Lebanon,8040.0,,,,,,1278.1,110.0,
Lesotho,1320.0,,0.05284,,,,19.1,,23.25503
Liberia,380.0,,,,,,16.6,,
Libya,5970.0,,,,,,172.0,,
Liechtenstein,,,,,,61.0,30.3,,
Lithuania,15110.0,3.946830432,1.04246,0.608780026435852,1776964048.0,87.0,2460.5,101.0,2822.39643
Luxembourg,73530.0,2.288277283,1.28773,,673934496.0,,797.9,128.0,5058.27794
"Macao SAR, China",64480.0,6.4217559802,0.13305,,,21.0,,3.0,1308.35401
"Macedonia, FYR",5100.0,0.6257752933,0.44329,,110003537.0,48.0,576.4,,858.81182
Madagascar,420.0,0.0947163667,,,1139363.0,205.0,120.4,3.0,
Malawi,340.0,0.1323182033,,,3577452.0,,197.0,6.0,
Malaysia,10450.0,30.0497577634,1.29813,,57257697127.0,627.0,19088.7,1272.0,2261.44431
Maldives,8190.0,,,,,,6.2,,
Mali,790.0,,,,,,70.2,,
Malta,24690.0,14.9029695779,0.76923,0.279080003499985,629779854.0,,302.2,9.0,1951.41758
Marshall Islands,4720.0,,,,,,2.6,,
Mauritania,1230.0,,,,,,13.8,,
Mauritius,9780.0,12.7980308921,,,673785.0,,121.5,1.0,
Mexico,9860.0,16.1846606083,0.55238,0.224769994616508,45780911356.0,1729.0,14485.4,1364.0,
"Micronesia, Fed. Sts.",3640.0,,,,,,4.3,,
Moldova,2230.0,0.2573625162,0.36967,0.183669999241829,17928258.0,1207.0,193.6,64.0,662.09589
Monaco,,,,,,46.0,41.1,5.0,
Mongolia,3850.0,0.0792726424,0.15501,,3051815.0,,103.5,109.0,
Montenegro,7280.0,0.5508753507,0.38019,,6492297.0,8.0,206.0,23.0,836.1871
Morocco,3010.0,2.1665006583,,,538711364.0,3728.0,3156.6,224.0,
Mozambique,580.0,0.0958136876,0.33732,,31240449.0,30.0,102.6,24.0,41.52819
Myanmar,1190.0,0.0416159326,,,10501158.0,,76.4,,
